id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,The Chipmunks were created by Ross Bagdasarian Sr. (1,0,unks,15296,1,4,0.10067396798652065,1.3132553100585938,-0.04377365573941905,383.7093200683594,90.47005348338912,0.0005662804469466209,0.92724609375,5.437702
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,evita,0,3,18,1,1,0.0001184709351305813,1.0193626880645752,-0.468029710299267,434.594970703125,88.65955113897897,0.07663405686616898,2.908203125,5.423397
2,Who was the next British Prime Minister after Arthur Balfour?,The next British Prime Minister was David Lloyd George.,0,our,413,1,3,0.0027182497893850043,1.2086329460144043,-0.32136418510959697,372.676025390625,90.2642467262394,0.013325825333595276,0.00035858154296875,4.7077203
3,Who had a 70s No 1 hit with Kiss You All Over?,the beatles,0, Over,6065,0,5,0.03991812342038753,1.0237095355987549,-0.053750364947375395,380.65692138671875,109.0100255507249,0.04810032993555069,0.1993408203125,6.655939
4,What claimed the life of singer Kathleen Ferrier?,"The singer Kathleen Ferrier died in 1953, and the",0,rier,7253,1,4,0.047737205139005895,1.3064855337142944,0.11493318586875922,370.7598571777344,103.4371523570539,0.0123899532482028,0.0268402099609375,6.16516
5,Rita Coolidge sang the title song for which Bond film?,goldfinger,0, film,4531,0,5,0.02982176705981466,1.0787103176116943,-0.2514357474801372,375.6458740234375,84.09320711544407,0.052943337708711624,0.32958984375,5.4394884
6,What was the last US state to reintroduce alcohol after prohibition?,The last state to reintroduce alcohol after prohibition was Mississippi in 19,0, prohibition,49867,0,12,0.32821056234203877,1.0223006010055542,0.054536978712498296,394.1547546386719,83.08625591170433,0.049144964665174484,1.1806640625,4.876701
7,Which actress was voted Miss Greenwich Village in 1942?,The answer is: Joan Fontaine. Joan Fontaine was a talented actress,0,2,17,1,1,0.00011188921651221567,1.0637160539627075,-0.20697351491297633,401.36541748046875,106.55011991924863,0.09227491915225983,2.234375,6.575105
8,What is the Japanese share index called?,The Nikkei 225 is the most commonly reported Japanese stock,1, called,2598,0,7,0.0170993049705139,1.0582423210144043,-0.38455769444326915,371.1788330078125,94.42518628541356,0.0835299864411354,3.25390625,3.5511305
9,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,1,8,23,1,1,0.00015137952822240943,0.9617469906806946,-0.4643944625281149,356.039794921875,99.70604454292376,0.0813828855752945,0.6923828125,5.29819
