id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,The Chipmunks were a group of children's musical group formed by the,0,unks,15296,1,4,0.10067396798652065,1.1659780740737915,-0.10813393744938082,384.3825988769531,30.963249150828197,0.013044169172644615,1.931640625,0.9009315
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,A) The Lion King,0,3,18,1,1,0.0001184709351305813,0.836982011795044,-0.6801380253437586,522.0902099609375,80.78694486063105,0.006918042898178101,2.66015625,1.7989985
2,Who was the next British Prime Minister after Arthur Balfour?,The next British Prime Minister after Arthur Balfour was **Arthur Balf,0,our,413,1,3,0.0027182497893850043,1.0439777374267578,-0.22258038845095962,362.3948669433594,36.88261658755297,-0.05432644113898277,0.021240234375,2.84577
3,Who had a 70s No 1 hit with Kiss You All Over?,The answer is 1978.,0, Over,6065,0,5,0.03991812342038753,0.869989812374115,-0.37034341822641004,456.36383056640625,64.11747205187307,0.01942448876798153,6.08984375,3.498602
4,What claimed the life of singer Kathleen Ferrier?,The answer is that she was a singer in the 1970,0,rier,7253,1,4,0.047737205139005895,1.1893259286880493,0.27488142502023516,520.34033203125,110.83286086614797,-0.044204480946063995,2.521484375,5.1629696
5,Rita Coolidge sang the title song for which Bond film?,"The title song for the Bond film is ""The Spy Who Got the Confidential",0, film,4531,0,5,0.02982176705981466,0.8763630390167236,-0.40874235784281776,423.1558837890625,53.48943001808707,0.1036563366651535,0.857421875,1.8234721
6,What was the last US state to reintroduce alcohol after prohibition?,The last US state to reintroduce alcohol after prohibition was California. This was,0, prohibition,49867,0,12,0.32821056234203877,0.9178537726402283,0.26650001240647514,402.9247131347656,65.95590322534063,0.13079731166362762,7.5625,4.1528153
7,Which actress was voted Miss Greenwich Village in 1942?,A. L. Hitchcock,0,2,17,1,1,0.00011188921651221567,0.8560956716537476,-0.645843025781419,490.6056823730469,78.48901290566974,0.0033974209800362587,2.994140625,4.480561
8,What is the Japanese share index called?,The Japanese share index is called the Nikkei 225.,1, called,2598,0,7,0.0170993049705139,0.9118424654006958,-0.3439820312220321,568.352294921875,137.00977416036415,0.06272825598716736,10.5546875,3.4384713
9,What was the name of Michael Jackson's autobiography written in 1988?,"The answer is ""The Jacksons.""",0,8,23,1,1,0.00015137952822240943,0.8185009360313416,-0.7890327279855702,514.5324096679688,85.57595370018295,0.03547374904155731,1.7734375,2.8507705
10,In which decade did stereo records first go on sale?,1950s,0, sale,6278,0,5,0.04132002948609941,0.9277712106704712,-0.11576900413371582,451.7931213378906,93.52345365250025,0.05959445238113403,0.99853515625,0.84411436
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1900,0, time,882,0,5,0.005805075821398484,0.9210426807403564,-0.7611019202360598,473.92852783203125,109.19083598784312,0.014429191127419472,0.0005030632019042969,0.8923148
12,Which volcano in Tanzania is the highest mountain in Africa?,"The highest mountain in Africa is Mount Kilimanjaro, located in Tanzania",1, Africa,10174,0,7,0.06696240522325189,0.8625317215919495,-0.00316267178693197,455.3729553222656,98.42435381953739,0.06334191560745239,3.65625,3.5602543
13,The flag of Libya is a plain rectangle of which color?,plain green,1, color,1894,0,6,0.0124657750631845,0.9050367474555969,-0.28532009206485265,485.2080993652344,95.79114079468425,0.042739227414131165,1.330078125,2.6904464
14,Of which African country is Niamey the capital?,A,0, capital,6722,0,8,0.04424231255265375,0.9346504807472229,-0.18740392917624238,425.2170104980469,88.6903866214583,0.09243551641702652,0.035247802734375,2.7306771
15,Who was the director of the CIA from 1976-81?,The director of the CIA from 1976 to 19,0,1,16,1,1,0.00010530749789385004,0.8519878387451172,-0.541855976650587,480.88812255859375,96.40264586330588,0.014726832509040833,1.5205078125,3.061383
16,Which musical featured the song The Street Where You Live?,"The Street Where You Live is a song by the band The Street, which",0, Live,11158,0,5,0.07343881634372368,0.8885105848312378,-0.21352757119632448,523.7256469726562,100.91008558485952,0.09272480756044388,2.505859375,1.5007243
17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","The target of the failed ""Bomb Plot"" of 1944",0,4,19,1,1,0.0001250526537489469,0.8273023366928101,-0.7987214450876956,477.6855163574219,60.42533662388018,0.02308717370033264,2.76953125,2.2047398
18,Who had an 80s No 1 hit with Hold On To The Nights?,The answer is 1989.,0, Nights,63543,0,7,0.4182221461668071,1.038865327835083,0.1973311853463957,408.3549499511719,3.8939565093750392,0.05740588903427124,7.875,2.4767542
19,Who directed the classic 30s western Stagecoach?,A,0,coach,88093,1,5,0.5798033382476833,0.9801462292671204,0.008649259402978338,421.12139892578125,39.09899503653362,0.021581599488854408,1.1435546875,2.7358577
20,Dave Gilmore and Roger Waters were in which rock group?,The answer is: The answer is: The answer is: The answer is,0, group,1874,0,6,0.012334140690817187,0.9261755347251892,-0.5125304022973038,466.63623046875,78.83874812408231,0.02782279998064041,4.58984375,3.696875
21,Which highway was Revisited in a classic 60s album by Bob Dylan?,The highway that was Revisited in a classic 60s album by,0, Dylan,43358,0,6,0.2853701558550969,0.9014008045196533,0.08039455129836304,418.9730224609375,98.99852344372977,0.07896161824464798,0.483154296875,2.4615402
22,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,The only eastern bloc country to participate in the 1984 LA,0, Olympics,31963,0,9,0.21037147219882055,0.9437424540519714,-0.161111092108829,465.2537841796875,52.04043864450216,0.09109721332788467,0.71337890625,2.58219
23,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,"The answer is ""The Twilight Zone.""",0, name,829,0,5,0.005456244734625105,0.8974736332893372,-0.4841769543220291,513.1372680664062,103.77182209084323,0.0031159380450844765,0.066650390625,2.0373785
24,If I Were A Rich Man Was a big hit from which stage show?,The answer is: The answer is: The answer is: The answer is,0, show,1473,0,5,0.00969487152485257,0.8853548765182495,-0.36118524013844455,508.0631408691406,92.77668279756224,0.06790170073509216,9.9140625,4.84414
25,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"The answer is ""The Catcher in the Rye.""",0, novel,11514,0,6,0.07578190817186184,0.8691689372062683,-0.043831258927177874,498.35113525390625,100.8158030256816,0.07479342073202133,3.078125,2.0495265
26,What was Truman Capote's last name before he was adopted by his stepfather?,Capote,0,father,23017,1,6,0.15149141743892164,0.9947184324264526,-0.11380391014174851,469.5798645019531,85.09427630568909,0.08268457651138306,0.413818359375,6.3995523
27,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","The elusive, troublesome snark turned into a snail.",0, hunters,47973,0,8,0.31574478727885424,0.8824634552001953,0.20202573586144057,401.8878173828125,75.04883272414921,0.11765721440315247,9.1796875,1.4525833
28,"In the Bible, who did the sun and moon stand still before?",The sun and moon stood still before the creation of the heavens and the earth,0, before,1573,0,7,0.010353043386689133,0.8878878355026245,-0.2855924703307364,574.0090942382812,102.36291326967402,0.07040656358003616,3.146484375,1.7903839
29,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,The answer is: Gangsta's Paradise,0, Paradise,47591,0,9,0.31323057076663857,0.9101850986480713,0.04947683910561684,452.8928527832031,71.03927079707826,0.0932483971118927,5.3984375,2.5172484
30,What was President Gerald Ford's middle name?,"Gerald Ford was born with the middle name ""Gerald"" and his full",0, name,829,0,5,0.005456244734625105,0.8974736332893372,-0.4841769543220291,464.71282958984375,111.69826670625301,0.05160780996084213,0.004138946533203125,4.5096188
31,Art Garfunkel trained for which profession although he didn't qualify?,The answer is: Art Garfunkel trained for the profession of a,0, qualify,25384,0,8,0.16707034540859309,0.9378414154052734,0.08623029604705668,542.4752197265625,122.27083700043148,0.07341158390045166,7.9453125,2.1945372
32,Who was the last inmate of Spandau jail in Berlin?,The last inmate of Spandau Prison in Berlin was a woman named El,0, Berlin,19846,0,7,0.13062078770008426,0.8394586443901062,-0.043116084260216514,425.949462890625,60.990728032987164,0.1261659860610962,4.5,1.76387
33,What was Eddie Murphy's first movie?,"The first movie he directed was ""The Big Lebowski"" (1",0, movie,5700,0,6,0.03751579612468408,0.831399142742157,-0.1890175672011476,453.1343994140625,39.00251009375179,0.0982850044965744,2.390625,2.8687973
34,In the 80s who wrote the novel Empire of The Sun?,The novel Empire of the Sun was written by the author who wrote the book,0, Sun,8059,0,4,0.053042070345408594,0.8711938261985779,-0.011315757341457733,486.7542724609375,105.25297825830891,0.05361952260136604,0.57470703125,1.474085
35,Kagoshima international airport is in which country?,Japan,1, country,3146,0,8,0.020706086773378266,0.8689674735069275,-0.1793005214443295,502.24542236328125,124.49365453641997,0.07390445470809937,0.50634765625,1.9674972
36,In which sport could the Pacers take on the Pistons?,The answer is basketball.,1, Pistons,94708,0,8,0.6233414069081719,1.019110918045044,-0.008709054321229814,410.9414367675781,69.69552900516813,0.11383022367954254,4.859375,2.4576306
37,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,The question is asking about a specific song that was interrupted during Kim Carnes,0, song,5492,0,5,0.03614679865206403,0.8481494784355164,-0.2265060795595737,458.7898864746094,86.99812818425215,0.1036376878619194,5.29296875,1.6217582
38,Where in Canada is the Lion's Gate bridge?,"The Lion's Gate Bridge is located in the province of British Columbia, Canada",0, bridge,14164,0,7,0.09322346251053075,0.8512315154075623,-0.03981288975024189,466.45751953125,66.69190157474354,0.088778555393219,9.3203125,2.085718
39,What was Walter Matthau's first movie?,"The first movie he directed was ""The Great Gatsby"" (19",0, movie,5700,0,6,0.03751579612468408,0.831399142742157,-0.1890175672011476,453.7185974121094,45.32960241548313,0.10032498836517334,4.80078125,3.059586
40,Otis Barton was a pioneer in exploring where?,"The answer is ""the United States.""",0, where,1380,0,6,0.009082771693344566,0.9089341163635254,-0.6519191741544699,630.6727905273438,142.37722050062627,0.06681142002344131,5.4921875,6.083034
41,Where in England was actor Nigel Hawthorne born?,1950s,0, born,9223,0,5,0.060703190817186184,0.9297081828117371,-0.25476378804877964,438.74664306640625,83.01322623444808,0.09300645440816879,0.44091796875,2.018504
42,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?","The creature is known as a ""Dragon Head Man"" or ""Dragon Head",0, dragon,25105,0,7,0.1652340459140691,0.8067187666893005,-0.07977332118547809,439.1924133300781,51.67155482560172,0.13778656721115112,3.875,3.3002977
43,"In Greek mythology, who were Arges, Brontes and Steropes?","Arges, Brontes, and Steropes were the three sons of",0,opes,18523,1,4,0.12191317396798652,1.1468335390090942,-0.09111848213816431,448.2158508300781,98.24149794942983,-0.018892595544457436,1.6005859375,0.37292692
44,Which musician founded the Red Hot Peppers?,A,0,ppers,35523,1,5,0.23380239048020218,1.1709612607955933,0.03923721531880586,436.1368103027344,58.71413866540089,-0.006194805260747671,1.4716796875,2.0886197
45,Where did the Shinning Path terrorists operate?,The Shinning Path terrorists operated in the United States.,0, operate,14476,0,8,0.09527695871946082,0.8786606788635254,-0.2007311355629029,464.72906494140625,74.7269289346683,0.0783388689160347,4.171875,2.0959795
46,How old was Jimi Hendrix when he died?,29,0, died,8469,0,5,0.0557405749789385,0.9428152441978455,-0.20903935988910627,368.6326904296875,51.96485926114057,0.07606382668018341,1.4443359375,0.13669178
47,Which Brit broke the land speed record in 1990 in Thrust 2?,A,0,2,17,1,1,0.00011188921651221567,0.8560956716537476,-0.645843025781419,551.0135498046875,81.87753102225878,0.056313805282115936,1.6123046875,3.4508488
48,In which state was Gene Vincent born?,The answer is in the state of California.,0, born,9223,0,5,0.060703190817186184,0.9297081828117371,-0.25476378804877964,407.41900634765625,65.19487765900358,0.07518789172172546,1.6240234375,4.04432
49,How was the European Recovery Program in the 1940s more commonly known?,"The European Recovery Program was more commonly known as the ""European Recovery Program""",1, known,3881,0,6,0.025543649957877,0.8896742463111877,-0.0866653246811806,504.89166259765625,106.25862987860363,0.06732858717441559,0.5458984375,1.2322854
50,Brandon Lee died during the making of which movie?,1992,0, movie,5700,0,6,0.03751579612468408,0.831399142742157,-0.1890175672011476,466.58380126953125,73.17522593062206,0.09758983552455902,0.9072265625,1.5070899
51,Who had a 70s No 1 hit with Let's Do It Again?,"The answer is: The song was written by the band's lead singer,",0, Again,13759,0,6,0.09055786647009267,0.9885329604148865,-0.1768731049934762,549.2177124023438,105.88976167719265,0.05895617604255676,0.78466796875,2.887691
52,Who had a Too Legit To Quit Tour?,The answer is: The answer is: The answer is: The answer is,0, Tour,14644,0,5,0.09638268744734625,0.8784957528114319,0.08778128023910847,524.2438354492188,98.67571246536782,0.10133858025074005,7.88671875,3.5677774
53,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""","The answer is ""the two imposters"" because the two imposters are",0, day,1899,0,4,0.012498683656276327,0.943987250328064,-0.12636683405894722,536.4491577148438,144.69231792379722,0.0109419459477067,3.814453125,1.6163639
54,Who is the most successful UK solo artist in the USA?,The most successful UK solo artist in the USA is **Miley Cyrus**,0, USA,7279,0,4,0.047908329823083406,0.8779060244560242,-0.1307792347977026,464.6604919433594,62.58603363161008,0.04326368868350983,8.671875,4.3951607
55,Which country does the airline TAAG come from?,The airline TAAG is based in the United Kingdom.,0, from,504,0,5,0.003317186183656276,0.8299858570098877,-0.78626177121274,498.6981506347656,137.22370990488432,0.049119871109724045,0.13818359375,2.370762
56,Which US No 1 single came from Diana Ross's platinum album Diana?,A. 1983,0, Diana,44409,0,6,0.2922875421229992,0.8743220567703247,-0.06694228788567091,492.8198547363281,99.84524963512713,0.08638878911733627,13.4375,1.3820409
57,River Phoenix died during the making of which movie?,1999,0, movie,5700,0,6,0.03751579612468408,0.831399142742157,-0.1890175672011476,447.32183837890625,71.60018361241498,0.09381765127182007,1.9267578125,3.0923812
58,Which artist David was born in Bradford UK?,1990,0, UK,6424,0,3,0.04228096040438079,0.8097637295722961,-0.008585224407729353,493.19073486328125,93.40009317174703,0.07329308241605759,6.96484375,2.7529876
59,What is Mel Gibson's middle name?,The middle name of Mel Gibson is James. ,0, name,829,0,5,0.005456244734625105,0.8974736332893372,-0.4841769543220291,463.49188232421875,109.0636023677723,0.024752125144004822,0.6396484375,6.307068
60,Richard Daley was mayor of which city for 21 years?,21 years,0, years,1635,0,6,0.0107611099410278,0.9320288896560669,-0.052141269332111495,505.8036193847656,93.72007324182779,0.0370824933052063,0.0150604248046875,0.944855
61,"""In which movie did Garbo say, """"I want to be alone"""".""","The movie is ""The Godfather"".",0, alone,7484,0,6,0.049257582139848356,0.9919782876968384,-0.1963295854607563,495.0201721191406,112.86959378691577,0.046474456787109375,7.8125,2.9536448
