id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,Ross Bagdasarian,0,unks,15655,1,4,0.12206056636726546,0.6700442433357239,0.0806457351237575,61.96308517456055,16.09854054958864,0.02426852285861969,0.95703125,1.4979945
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Cats,0,3,18,1,1,0.0001403443113772455,0.4281560778617859,12.17687754194454,67.04298400878906,19.103219109267055,0.004322919063270092,2.171875,3.4558828
2,Who was the next British Prime Minister after Arthur Balfour?,Henry Campbell-Bannerman,1,our,414,1,3,0.0032279191616766466,0.5376834273338318,0.008251204893987563,65.39708709716797,12.006408969283523,0.003798459889367223,0.002361297607421875,3.4286108
3,Who had a 70s No 1 hit with Kiss You All Over?,Exile,1, Over,6193,0,5,0.04828624001996008,0.5588557124137878,0.3066837047657409,59.59135437011719,20.580955875448748,0.018532508984208107,0.0139617919921875,1.8528928
4,What claimed the life of singer Kathleen Ferrier?,Cancer,1,rier,7401,1,4,0.05770490269461078,0.6413266658782959,-0.17027838308774124,57.47602081298828,21.71236917862592,-0.018906431272625923,0.004985809326171875,2.2235262
5,Rita Coolidge sang the title song for which Bond film?,The Man with the Golden Gun.,0, film,4632,0,5,0.03611526946107784,0.5811712741851807,0.06832887555598699,63.155242919921875,12.16314197238142,0.006115610711276531,0.51708984375,3.2873142
6,What was the last US state to reintroduce alcohol after prohibition?,Mississippi,0, prohibition,50967,0,12,0.39738491766467066,0.7730213403701782,-0.07361263171164234,60.19609451293945,13.628801138601286,0.018213942646980286,0.6044921875,2.2142367
7,Which actress was voted Miss Greenwich Village in 1942?,Marilyn Monroe,0,2,17,1,1,0.00013254740518962076,0.4151184856891632,15.679016558039137,71.37867736816406,22.187496186206726,0.00029148487374186516,1.9951171875,4.7066016
8,What is the Japanese share index called?,Nikkei 225,1, called,2663,0,7,0.02076316117764471,0.5720611214637756,0.2294799170302313,58.21512985229492,16.106490375202515,0.017588064074516296,1.6494140625,1.4543921
9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,1,8,23,1,1,0.00017932884231536926,0.4591073989868164,3.455409406839226,67.57312774658203,18.790763626478377,0.006904167123138905,0.0239105224609375,0.34698996
10,In which decade did stereo records first go on sale?,1948,0, sale,6412,0,5,0.0499937624750499,0.6025267243385315,0.19394766177291745,63.87552261352539,18.150034286004473,0.0026523852720856667,0.0699462890625,2.0342603
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1896,0, time,892,0,5,0.006954840319361277,0.46199557185173035,1.1567260448454713,68.00056457519531,21.398052751379954,0.03558158874511719,0.00498199462890625,1.3531058
12,Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,1, Africa,10384,0,7,0.08096307385229541,0.6058604717254639,-0.10592067734878707,66.02159118652344,17.163309900626654,0.016748763620853424,0.05938720703125,1.6926244
13,The flag of Libya is a plain rectangle of which color?,Red,0, color,1933,0,6,0.015071419660678643,0.5637041926383972,0.17548773144065555,60.423095703125,13.037068234748368,0.03374096751213074,0.41162109375,1.9893911
14,Of which African country is Niamey the capital?,Niger,1, capital,6864,0,8,0.053517964071856286,0.6120886206626892,0.048557260065774877,60.12009811401367,21.825435844858315,0.01726929470896721,0.0233154296875,0.47562152
15,Who was the director of the CIA from 1976-81?,George H. W. Bush,0,81,5932,1,2,0.04625124750499002,0.6285228729248047,0.062451170392720634,63.65119552612305,17.71877274963116,-0.0271149929612875,4.18359375,1.3884478
16,Which musical featured the song The Street Where You Live?,My Fair Lady,1, Live,11406,0,5,0.0889315119760479,0.5879952907562256,0.14254933873889053,65.41094970703125,20.181764696803903,0.02178509347140789,0.007717132568359375,0.46339688
17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","""Adolf Hitler""",1,4,19,1,1,0.00014814121756487027,0.43821898102760315,8.538236203894131,74.92902374267578,20.279871798737688,-0.007048435974866152,0.078857421875,3.8651626
18,Who had an 80s No 1 hit with Hold On To The Nights?,REO Speedwagon,0, Nights,64643,0,7,0.5040154066866267,0.6903607845306396,-0.09509824844987591,62.48455047607422,12.074528701974598,0.02851579710841179,0.216552734375,3.2394502
