id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,"Ross Bagdasarian, Sr.",0,s,28713,1,1,0.89728125,0.0851113349199295,11.082898152002013,34.452396392822266,3.9500225594412353,0.054341305047273636,1.037109375,1.4226068
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,1,3,28770,1,1,0.8990625,0.10815463215112686,4.973169342116167,32.09797286987305,15.06316283725803,0.0545356348156929,1.9931640625,1.0301595
2,Who was the next British Prime Minister after Arthur Balfour?,H. H. Asquith,0,our,423,1,3,0.01321875,0.14326457679271698,0.10430467068275107,34.366668701171875,39.18258945009243,0.0013689659535884857,0.0012159347534179688,2.9408307
3,Who had a 70s No 1 hit with Kiss You All Over?,Exile,1,Over,5235,1,4,0.16359375,0.15067343413829803,0.26671597495346866,31.085941314697266,36.63156674057434,0.017558421939611435,0.004245758056640625,0.76813155
4,What claimed the life of singer Kathleen Ferrier?,Cancer,1,rier,5118,1,4,0.1599375,0.1604992300271988,-0.0846356650225375,29.815811157226562,54.21619133244061,0.012423141859471798,0.0008053779602050781,3.2352057
5,Rita Coolidge sang the title song for which Bond film?,The Spy Who Loved Me,0,film,2966,1,4,0.0926875,0.1493862271308899,0.09332058518563846,29.49580192565918,6.35315049553296,0.06714162230491638,0.5546875,1.4922588
6,What was the last US state to reintroduce alcohol after prohibition?,Mississippi,0,ition,685,1,5,0.02140625,0.1362655758857727,0.031290927872193564,34.138336181640625,14.171049459187977,0.02722218818962574,0.00276947021484375,2.3584187
7,Which actress was voted Miss Greenwich Village in 1942?,Marilyn Monroe,0,2,28750,1,1,0.8984375,0.09560004621744156,12.700038032380993,32.257781982421875,95.72423211751452,0.03053046390414238,2.32421875,4.6972895
8,What is the Japanese share index called?,Nikkei,1,called,1987,1,6,0.06209375,0.14868496358394623,0.0634729304677153,30.331069946289062,75.08121036083755,0.0351821705698967,1.5205078125,1.9368469
9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,1,8,28783,1,1,0.89946875,0.11777491122484207,2.9366294901669194,33.64443588256836,50.122824634699015,0.02924787998199463,0.1588134765625,0.56727904
10,In which decade did stereo records first go on sale?,The 1950s,0,sale,7796,1,4,0.243625,0.16889534890651703,0.08405266912376907,33.90247344970703,49.067289394810444,0.0627310648560524,0.03228759765625,1.5514343
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1924,0,time,727,1,4,0.02271875,0.1280067265033722,1.0381019598900787,33.941978454589844,146.7279254308272,0.037929993122816086,0.005138397216796875,1.5554934
