id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,"Alvin, Simon, Theodore, and Dave",0,unks,15655,1,4,0.12206056636726546,1.2067241668701172,0.10015777627913902,20.190401077270508,0.5132576446696109,0.016841279342770576,1.2255859375,4.367084
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Wicked,0,3,18,1,1,0.0001403443113772455,0.8290290236473083,0.25603625406347996,23.11178207397461,0.4422189580598168,0.08746148645877838,3.134765625,4.921931
2,Who was the next British Prime Minister after Arthur Balfour?,Winston Churchill,0,our,414,1,3,0.0032279191616766466,1.1102445125579834,-0.12421357597727845,23.339799880981445,0.4841217523981505,0.05905216187238693,0.0003631114959716797,3.6855419
3,Who had a 70s No 1 hit with Kiss You All Over?,The Cars,0, Over,6193,0,5,0.04828624001996008,0.9044654369354248,0.03971671587403014,23.893152236938477,1.1824079608465325,0.11271310597658157,0.34375,5.738306
4,What claimed the life of singer Kathleen Ferrier?,Kathleen Ferrier,0,rier,7401,1,4,0.05770490269461078,1.1841322183609009,0.18721775067292068,21.322649002075195,0.4975173394719721,0.04822750389575958,0.014495849609375,4.5532417
5,Rita Coolidge sang the title song for which Bond film?,Diamonds Are Forever,0, film,4632,0,5,0.03611526946107784,0.9391749501228333,-0.040005387976076445,22.21440887451172,0.45006585089708206,0.13407428562641144,0.9912109375,4.111261
6,What was the last US state to reintroduce alcohol after prohibition?,Wyoming,0, prohibition,50967,0,12,0.39738491766467066,0.9772301316261292,0.10882963684719194,20.311904907226562,0.312024777131501,0.14530788362026215,0.8076171875,4.441815
7,Which actress was voted Miss Greenwich Village in 1942?,Katharine Hepburn,0,2,17,1,1,0.00013254740518962076,0.843667209148407,0.9400767380163781,22.741058349609375,0.43496767419037186,0.10053909569978714,2.421875,5.4213743
8,What is the Japanese share index called?,Nikkei 225,1, called,2663,0,7,0.02076316117764471,0.9541770815849304,-0.08801322851512294,20.54241943359375,0.813600816960415,0.17808319628238678,2.076171875,3.4803305
9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,1,8,23,1,1,0.00017932884231536926,0.8088405728340149,-0.059384417824554614,24.242137908935547,0.6911188999151534,0.1014946699142456,0.82470703125,3.902364
10,In which decade did stereo records first go on sale?,1950s,0, sale,6412,0,5,0.0499937624750499,1.0142923593521118,-0.05560479207624702,22.541234970092773,0.9819023633351498,0.12029054760932922,0.1602783203125,3.380962
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1904,0, time,892,0,5,0.006954840319361277,0.9325549602508545,-0.20955769645389744,23.661531448364258,0.6318273491300257,0.14075663685798645,0.0058746337890625,1.4298553
12,Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,1, Africa,10384,0,7,0.08096307385229541,0.9299780130386353,-0.008840385642495452,23.54671287536621,0.46600762691830555,0.13745734095573425,0.61328125,1.5169094
13,The flag of Libya is a plain rectangle of which color?,Red,0, color,1933,0,6,0.015071419660678643,1.0016303062438965,-0.05477672096466879,21.17796516418457,0.28321182482731366,0.1277768313884735,1.4375,3.4888928
14,Of which African country is Niamey the capital?,Niger,1, capital,6864,0,8,0.053517964071856286,1.0731843709945679,-0.03418525595269006,23.77411460876465,0.37889141449357355,0.125449076294899,0.1314697265625,1.3062187
15,Who was the director of the CIA from 1976-81?,William Casey,0,81,5932,1,2,0.04625124750499002,0.8822952508926392,0.07358550152915733,22.98292350769043,0.8900784103293868,0.050227947533130646,4.03515625,3.8218474
16,Which musical featured the song The Street Where You Live?,The Wizard of Oz,0, Live,11406,0,5,0.0889315119760479,1.014225721359253,0.08374972135024983,22.825620651245117,0.7994052358738926,0.10342852771282196,0.0074462890625,5.730444
