id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,Ross Bagdasarian Sr.,0,unks,15655,1,4,0.12206056636726546,1.3163022994995117,0.13923661563503886,42.0582389831543,7.744633700233141,0.014612320810556412,0.263671875,0.5537153
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,1,3,18,1,1,0.0001403443113772455,0.8899649977684021,0.38940287092794446,43.203739166259766,3.537626870375818,-0.003574515227228403,1.9453125,1.2116045
2,Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman,1,our,414,1,3,0.0032279191616766466,1.2107166051864624,0.14762174603702016,44.764041900634766,2.778915233017176,-0.0030019646510481834,8.106231689453125e-06,2.9738877
3,Who had a 70s No 1 hit with Kiss You All Over?,Exile,1, Over,6193,0,5,0.04828624001996008,1.0315195322036743,0.0647338257765484,48.20335388183594,11.09853585923449,0.07504325360059738,0.0012178421020507812,0.9289168
4,What claimed the life of singer Kathleen Ferrier?,Cancer.,1,rier,7401,1,4,0.05770490269461078,1.3260520696640015,0.1489558602682428,38.506446838378906,4.916054695167676,-0.003883086610585451,0.1644287109375,4.0795965
5,Rita Coolidge sang the title song for which Bond film?,The Living Daylights,0, film,4632,0,5,0.03611526946107784,1.0674729347229004,0.15200274985736995,41.59739303588867,2.0027033842200757,0.11844786256551743,0.182373046875,2.5513728
6,What was the last US state to reintroduce alcohol after prohibition?,Mississippi,0, prohibition,50967,0,12,0.39738491766467066,1.0763351917266846,0.26619063380328134,41.951778411865234,1.5910982280207948,0.10733889043331146,2.15625,3.3260047
7,Which actress was voted Miss Greenwich Village in 1942?,Barbara Bel Geddes,0,2,17,1,1,0.00013254740518962076,0.9272226095199585,1.2098593444044683,47.09834671020508,11.59567719135343,-0.01565610058605671,3.357421875,5.3256893
8,What is the Japanese share index called?,Nikkei 225.,1, called,2663,0,7,0.02076316117764471,1.1132361888885498,-0.04424807250157725,46.183467864990234,15.258776327627704,0.12444803863763809,4.33203125,0.5106327
9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,1,8,23,1,1,0.00017932884231536926,0.866473913192749,-0.04354860676264938,42.20350646972656,9.584706149581544,-0.015093296766281128,0.251220703125,2.575717
10,In which decade did stereo records first go on sale?,1887,0, sale,6412,0,5,0.0499937624750499,1.1492161750793457,0.1521460434444304,48.098506927490234,4.9188720061314815,0.10641758888959885,0.300048828125,0.8925647
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1928,0, time,892,0,5,0.006954840319361277,1.088727355003357,-0.2917170250557777,54.21036148071289,8.859694156448368,0.1124308854341507,0.0009760856628417969,0.13216078
12,Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro.,1, Africa,10384,0,7,0.08096307385229541,1.042294979095459,0.09507010989447195,46.852294921875,1.9285248814972276,0.11199290305376053,1.1025390625,0.74547184
13,The flag of Libya is a plain rectangle of which color?,Green,1, color,1933,0,6,0.015071419660678643,1.1276538372039795,-0.11532657486849685,42.088802337646484,0.6017274659248044,0.09421923756599426,0.161865234375,0.5005236
14,Of which African country is Niamey the capital?,Niger.,1, capital,6864,0,8,0.053517964071856286,1.2110103368759155,0.1543518692897492,44.811710357666016,4.098392503999647,0.11576803028583527,0.09149169921875,0.30077162
15,Who was the director of the CIA from 1976-81?,Stansfield Turner,0,81,5932,1,2,0.04625124750499002,0.9198444485664368,0.4391940869015545,40.909812927246094,8.86897289876657,-0.01446473877876997,4.140625,2.0943162
16,Which musical featured the song The Street Where You Live?,My Fair Lady,1, Live,11406,0,5,0.0889315119760479,1.1280322074890137,0.03442347104045629,42.2871208190918,11.300174033433507,0.0767211839556694,0.003940582275390625,0.31916705
17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","The target of the failed ""Bomb Plot"" of 1944 was Adolf",0,4,19,1,1,0.00014814121756487027,0.8861324787139893,0.09808963250168734,46.191837310791016,9.49069863128486,-0.0202658511698246,2.060546875,5.104947
