question,answer,category
"What is the capital of France?","Paris","capitals"
"What is the capital of Germany?","Berlin","capitals"
"What is the capital of Italy?","Rome","capitals"
"What is the capital of Spain?","Madrid","capitals"
"What is the capital of Japan?","Tokyo","capitals"
"What is the capital of China?","Beijing","capitals"
"What is the capital of Russia?","Moscow","capitals"
"What is the capital of United Kingdom?","London","capitals"
"What is the capital of Canada?","Ottawa","capitals"
"What is the capital of Australia?","Canberra","capitals"
"What is the capital of Brazil?","Brasilia","capitals"
"What is the capital of Argentina?","Buenos Aires","capitals"
"What is the capital of Mexico?","Mexico City","capitals"
"What is the capital of India?","New Delhi","capitals"
"What is the capital of South Korea?","Seoul","capitals"
"What is the capital of Egypt?","Cairo","capitals"
"What is the capital of South Africa?","Pretoria","capitals"
"What is the capital of Turkey?","Ankara","capitals"
"What is the capital of Greece?","Athens","capitals"
"What is the capital of Poland?","Warsaw","capitals"
"What is the capital of Sweden?","Stockholm","capitals"
"What is the capital of Norway?","Oslo","capitals"
"What is the capital of Denmark?","Copenhagen","capitals"
"What is the capital of Finland?","Helsinki","capitals"
"What is the capital of Netherlands?","Amsterdam","capitals"
"What is the capital of Belgium?","Brussels","capitals"
"What is the capital of Austria?","Vienna","capitals"
"What is the capital of Switzerland?","Bern","capitals"
"What is the capital of Portugal?","Lisbon","capitals"
"What is the capital of Ireland?","Dublin","capitals"
"What is the capital of Czech Republic?","Prague","capitals"
"What is the capital of Hungary?","Budapest","capitals"
"What is the capital of Romania?","Bucharest","capitals"
"What is the capital of Thailand?","Bangkok","capitals"
"What is the capital of Vietnam?","Hanoi","capitals"
"What is the capital of Indonesia?","Jakarta","capitals"
"What is the capital of Philippines?","Manila","capitals"
"What is the capital of Malaysia?","Kuala Lumpur","capitals"
"What is the capital of Singapore?","Singapore","capitals"
"What is the capital of New Zealand?","Wellington","capitals"
"What is the capital of Israel?","Jerusalem","capitals"
"What is the capital of Saudi Arabia?","Riyadh","capitals"
"What is the capital of Iran?","Tehran","capitals"
"What is the capital of Iraq?","Baghdad","capitals"
"What is the capital of Pakistan?","Islamabad","capitals"
"What is the capital of Ukraine?","Kyiv","capitals"
"What is the capital of Chile?","Santiago","capitals"
"What is the capital of Colombia?","Bogota","capitals"
"What is the capital of Peru?","Lima","capitals"
"What is the capital of Venezuela?","Caracas","capitals"
"Who wrote Romeo and Juliet?","William Shakespeare","authors"
"Who wrote Hamlet?","William Shakespeare","authors"
"Who wrote Macbeth?","William Shakespeare","authors"
"Who wrote Pride and Prejudice?","Jane Austen","authors"
"Who wrote 1984?","George Orwell","authors"
"Who wrote Animal Farm?","George Orwell","authors"
"Who wrote Harry Potter?","J.K. Rowling","authors"
"Who wrote The Lord of the Rings?","J.R.R. Tolkien","authors"
"Who wrote The Hobbit?","J.R.R. Tolkien","authors"
"Who wrote Don Quixote?","Miguel de Cervantes","authors"
"Who wrote War and Peace?","Leo Tolstoy","authors"
"Who wrote Anna Karenina?","Leo Tolstoy","authors"
"Who wrote Crime and Punishment?","Fyodor Dostoevsky","authors"
"Who wrote The Brothers Karamazov?","Fyodor Dostoevsky","authors"
"Who wrote Moby Dick?","Herman Melville","authors"
"Who wrote The Great Gatsby?","F. Scott Fitzgerald","authors"
"Who wrote To Kill a Mockingbird?","Harper Lee","authors"
"Who wrote The Catcher in the Rye?","J.D. Salinger","authors"
"Who wrote One Hundred Years of Solitude?","Gabriel Garcia Marquez","authors"
"Who wrote The Divine Comedy?","Dante Alighieri","authors"
"Who wrote Les Miserables?","Victor Hugo","authors"
"Who wrote The Count of Monte Cristo?","Alexandre Dumas","authors"
"Who wrote Oliver Twist?","Charles Dickens","authors"
"Who wrote A Tale of Two Cities?","Charles Dickens","authors"
"Who wrote Great Expectations?","Charles Dickens","authors"
"Who wrote Jane Eyre?","Charlotte Bronte","authors"
"Who wrote Wuthering Heights?","Emily Bronte","authors"
"Who wrote Frankenstein?","Mary Shelley","authors"
"Who wrote Dracula?","Bram Stoker","authors"
"Who wrote The Picture of Dorian Gray?","Oscar Wilde","authors"
"Who wrote The Odyssey?","Homer","authors"
"Who wrote The Iliad?","Homer","authors"
"Who wrote Brave New World?","Aldous Huxley","authors"
"Who wrote Fahrenheit 451?","Ray Bradbury","authors"
"Who wrote The Old Man and the Sea?","Ernest Hemingway","authors"
"Who wrote For Whom the Bell Tolls?","Ernest Hemingway","authors"
"Who wrote The Grapes of Wrath?","John Steinbeck","authors"
"Who wrote Of Mice and Men?","John Steinbeck","authors"
"Who wrote Alice in Wonderland?","Lewis Carroll","authors"
"Who wrote The Adventures of Tom Sawyer?","Mark Twain","authors"
"Who wrote The Adventures of Huckleberry Finn?","Mark Twain","authors"
"Who wrote A Christmas Carol?","Charles Dickens","authors"
"Who wrote The Metamorphosis?","Franz Kafka","authors"
"Who wrote The Trial?","Franz Kafka","authors"
"Who wrote Lolita?","Vladimir Nabokov","authors"
"Who wrote Ulysses?","James Joyce","authors"
"Who wrote The Sun Also Rises?","Ernest Hemingway","authors"
"Who wrote Catch-22?","Joseph Heller","authors"
"Who wrote Slaughterhouse-Five?","Kurt Vonnegut","authors"
"Who wrote The Stranger?","Albert Camus","authors"
"Who wrote Nausea?","Jean-Paul Sartre","authors"
"Who painted the Mona Lisa?","Leonardo da Vinci","art"
"Who painted The Last Supper?","Leonardo da Vinci","art"
"Who painted the Sistine Chapel ceiling?","Michelangelo","art"
"Who painted The Starry Night?","Vincent van Gogh","art"
"Who painted Sunflowers?","Vincent van Gogh","art"
"Who painted The Persistence of Memory?","Salvador Dali","art"
"Who painted Guernica?","Pablo Picasso","art"
"Who painted The Scream?","Edvard Munch","art"
"Who painted Girl with a Pearl Earring?","Johannes Vermeer","art"
"Who painted The Birth of Venus?","Sandro Botticelli","art"
"Who painted American Gothic?","Grant Wood","art"
"Who painted The Night Watch?","Rembrandt","art"
"Who painted Water Lilies?","Claude Monet","art"
"Who painted A Sunday Afternoon on the Island of La Grande Jatte?","Georges Seurat","art"
"Who painted The Kiss?","Gustav Klimt","art"
"Who painted Las Meninas?","Diego Velazquez","art"
"Who painted The Garden of Earthly Delights?","Hieronymus Bosch","art"
"Who painted Liberty Leading the People?","Eugene Delacroix","art"
"Who painted Impression Sunrise?","Claude Monet","art"
"Who painted The Creation of Adam?","Michelangelo","art"
"Who sculpted David?","Michelangelo","art"
"Who sculpted The Thinker?","Auguste Rodin","art"
"Who painted Campbell's Soup Cans?","Andy Warhol","art"
"Who painted Nighthawks?","Edward Hopper","art"
"Who painted The Great Wave off Kanagawa?","Katsushika Hokusai","art"
"Who invented the telephone?","Alexander Graham Bell","inventions"
"Who invented the light bulb?","Thomas Edison","inventions"
"Who invented the airplane?","Wright Brothers","inventions"
"Who invented the printing press?","Johannes Gutenberg","inventions"
"Who invented the steam engine?","James Watt","inventions"
"Who invented the television?","Philo Farnsworth","inventions"
"Who invented the World Wide Web?","Tim Berners-Lee","inventions"
"Who invented the radio?","Guglielmo Marconi","inventions"
"Who invented dynamite?","Alfred Nobel","inventions"
"Who invented the telescope?","Galileo Galilei","inventions"
"Who invented penicillin?","Alexander Fleming","inventions"
"Who invented the vaccine?","Edward Jenner","inventions"
"Who invented the phonograph?","Thomas Edison","inventions"
"Who invented alternating current?","Nikola Tesla","inventions"
"Who founded Apple?","Steve Jobs","companies"
"Who founded Microsoft?","Bill Gates","companies"
"Who founded Amazon?","Jeff Bezos","companies"
