id,question,model_answer,is_correct,anchor_str,token_id,token_is_suffix,token_len,token_id_rank,layer0_norm,layer0_kurtosis,final_norm,final_kurtosis,drift_cosine,surprisal,prediction_entropy
0,Who was the man behind The Chipmunks?,"The man behind The Chipmunks was David Seville, a fictional character",1,unks,15296,1,4,0.10067396798652065,1.5604196786880493,0.04825624840735543,1328.68505859375,780.9859242256891,-0.002483353018760681,1.6005859375,0.18286683
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,The Phantom of the Opera,0,3,18,1,1,0.0001184709351305813,1.5794754028320312,53.84191418260034,1413.152587890625,760.5814923334287,0.07597322762012482,2.1953125,0.37104207
2,Who was the next British Prime Minister after Arthur Balfour?,The next British Prime Minister after Arthur Balfour was H. H.,0,our,413,1,3,0.0027182497893850043,1.7460355758666992,-0.03956924730403122,1325.9566650390625,751.3194785163057,0.02418510429561138,3.337860107421875e-06,0.45035484
3,Who had a 70s No 1 hit with Kiss You All Over?,The Sweet,0, Over,6065,0,5,0.03991812342038753,1.7138769626617432,-0.10230138927705301,1156.3779296875,630.5260406991057,0.01808932051062584,0.00020170211791992188,1.740473
4,What claimed the life of singer Kathleen Ferrier?,"Kathleen Ferrier, the renowned British contralto, passed away on September",0,rier,7253,1,4,0.047737205139005895,1.6490323543548584,0.21508568084913948,1168.10498046875,673.1652837022152,0.020613227039575577,0.0005841255187988281,2.1038694
5,Rita Coolidge sang the title song for which Bond film?,The Spy Who Loved Me,0, film,4531,0,5,0.02982176705981466,1.704827904701233,-0.022928700611097863,1134.0758056640625,572.4982283966485,0.01741565763950348,0.0308837890625,1.2000078
6,What was the last US state to reintroduce alcohol after prohibition?,The last US state to reintroduce alcohol after prohibition was Mississippi. Mississippi was,0, prohibition,49867,0,12,0.32821056234203877,1.4128798246383667,0.034824854105574676,1433.776611328125,731.85128183268,-0.009134809486567974,1.365234375,1.0448836
7,Which actress was voted Miss Greenwich Village in 1942?,The actress who was voted Miss Greenwich Village in 1942 is,0,2,17,1,1,0.00011188921651221567,1.5402464866638184,65.54336903170572,1396.53857421875,770.4019050525856,0.11417397856712341,2.232421875,3.40317
8,What is the Japanese share index called?,"The Nikkei 225, also known as the Nikke",1, called,2598,0,7,0.0170993049705139,1.8910608291625977,0.004024645252740822,1389.7236328125,799.4873505675116,0.015165848657488823,4.078125,0.75746363
9,What was the name of Michael Jackson's autobiography written in 1988?,Bad,0,8,23,1,1,0.00015137952822240943,1.6351768970489502,18.247345848185144,1301.6793212890625,766.0432199022732,0.07804964482784271,0.8935546875,0.76908225
